CTBP1 PHF21A
BAG6 APBB1IP
BAG6 CTSB
APBB1IP RAP1A
APBB1IP ZDHHC17
APBB1IP PFN1
APBB1IP EVL
APBB1IP NDN
APBB1IP PACSIN2
APBB1IP DPY30
APBB1IP TAB3
APBB1IP MRPL53
APBB1IP GAS7
APBB1IP PACSIN3
APBB1IP VASP
APBB1IP ZC3H10
APBB1IP TLX3
PRKCA ADAM17
PRKCA PRKD3
PRKCA RBCK1
PRKCA DDX5
YWHAZ KAT8
YWHAZ BLNK
YWHAZ APP
YWHAZ HDAC5
YWHAZ MVP
YWHAZ TLK2
YWHAZ CLTC
TRIM25 RBCK1
TRIM25 EFTUD2
TRIM25 DDX5
ARRB1 CD2AP
ARRB1 TMOD3
ARRB1 CLTC
CANX SLC4A1
CANX MAPK8IP1
CALCR RAMP3
RAMP3 PDCD6IP
RAMP3 KRTAP5-9
RAMP3 NOTCH2NLA
RAMP3 CYSRT1
RAMP3 KRTAP10-3
RAMP3 CALCRL
RAMP3 RAMP2
RAMP3 HSPB3
RAMP3 VIPR1
RAMP3 ADM
RAMP3 RAMP3
RAMP3 SLC31A2
RAMP3 KRTAP5-3
RAMP3 KRTAP9-3
RAMP3 NBPF19
RAMP3 KRTAP5-7
MAPK3 ADAM17
MAPK3 UBTF
MAPK3 DUSP3
MAPK3 MAZ
YWHAQ SLC8A1
YWHAQ HDAC5
SLC8A1 YWHAB
SLC8A1 YWHAE
SLC8A1 SPTAN1
SLC8A1 CAV3
SLC8A1 TRPC3
SLC8A1 ANK2
SLC8A1 PPP3CB
SLC8A1 SPTB
SLC8A1 IQCJ-SCHIP1
CALM3 KCNQ3
KCNQ3 CALM1
KCNQ3 CALM2
KCNQ3 KCNQ4
KCNQ3 KCNQ5
KCNQ3 KCNQ3
KCNQ3 KCNQ2
ZDHHC17 SLC9A9
RACK1 MME
RACK1 EED
RACK1 DDX5
PRKACA CLTC
LYN PTK2B
LYN MME
LYN NMT1
LYN SLC4A1
TRAF1 SHARPIN
TRAF1 PRDM7
TRAF1 RBCK1
TRAF1 CCHCR1
TRAF1 PHF21A
TRAF1 DDX5
TRIM23 ATP5PF
MAGEA6 NCK2
ADRB2 KCNJ9
ADRB2 CLTC
PRKCB RBCK1
PRKCB DDX5
HRAS SLC7A11
SLC7A11 OTUB1
SLC7A11 CD44
SLC7A11 SLC3A2
SLC7A11 NRAS
SLC7A11 BAAT
SLC7A11 KRTAP1-1
SLC7A11 KRTAP1-3
RAP1A RUNDC3A
GRB2 RIMS2
GRB2 CD2AP
GRB2 CLU
GRB2 PTK2B
GRB2 ADAM10
GRB2 ABI3
GRB2 USP6NL
GRB2 BLNK
GRB2 APP
GRB2 ITGA2B
GRB2 ASB16
GRB2 NCKAP5
GRB2 TMOD3
GRB2 DDX5
GRB2 UBASH3B
RIMS2 FYN
RIMS2 YWHAH
RIMS2 NCK1
RIMS2 RAB8A
RIMS2 RAB3A
RIMS2 RABAC1
RIMS2 ABCA1
RIMS2 RAB27A
RIMS2 RAPGEF4
RIMS2 RAB3D
RIMS2 CACNA1S
RIMS2 RAB3B
RIMS2 RPH3AL
RIMS2 RAB3C
CBL CD2AP
CBL PTK2B
CBL NCK2
CBL BLNK
CBL UBASH3B
FYN CD2AP
FYN PTK2B
FYN APP
FYN NMT1
FYN ASB16
FYN NCKAP5
PIK3R1 CD2AP
PIK3R1 PTK2B
PIK3R1 MME
PIK3R1 ANK3
